SMILES,Hit_Miss,MolLogP,TPSA,MolWt,NumRotatableBonds,HallKierAlpha,FractionCSP3,RingCount,NumHDonors,NumHAcceptors
C=C1CC2(OC1=O)C(=O)Nc1ccc(I)cc12,1,1.9416999999999998,55.400000000000006,341.104,0.0,-1.3699999999999997,0.16666666666666666,3.0,1.0,3.0
C=CC#CC[N+]1(CC#Cc2ccccc2)CCOCC1.[Br-],0,-0.9214999999999975,9.23,346.26800000000003,2.0,-1.5199999999999996,0.3333333333333333,2.0,0.0,1.0
C=CCCC1(C)SC(=O)C(C)=C1O,0,2.816700000000001,37.3,198.28699999999998,3.0,-0.7,0.5,1.0,1.0,3.0
C=CCCCC1(C)SC(=O)C(C)=C1O,0,3.206800000000001,37.3,212.31399999999996,4.0,-0.7,0.5454545454545454,1.0,1.0,3.0
C=CCCCCC1(C)SC(=O)C(C)=C1O,0,3.5969000000000024,37.3,226.34099999999998,5.0,-0.7,0.5833333333333334,1.0,1.0,3.0
C=CCCCCCCC1(C)SC(=O)C(C)=C1O,0,4.377100000000004,37.3,254.39499999999998,7.0,-0.7,0.6428571428571429,1.0,1.0,3.0
C=CCCOc1nc2ccccc2cc1C(c1cc2ccccc2nc1OCCC=C)C(O)(CCN(C)C)c1ccc(Br)cc1,1,8.426700000000006,67.71000000000001,666.6600000000004,15.0,-4.039999999999999,0.2631578947368421,5.0,1.0,6.0
C=CCN(C)C/C=C(\C)CC/C=C(\C)CCC=C(C)C,0,5.523400000000006,3.24,275.47999999999996,10.0,-1.08,0.5789473684210527,0.0,0.0,1.0
C=CCN(C)CCCCCCCCOc1ccc2ccc(OC)cc2c1,0,5.685600000000006,21.700000000000003,355.52200000000005,13.0,-1.9999999999999996,0.4782608695652174,2.0,0.0,3.0
C=CCN1C(=O)/C(=C/c2ccc(O)cc2)S/C1=N\c1cccc(C(=O)O)c1,1,3.8804000000000025,90.2,380.4250000000001,5.0,-3.3199999999999994,0.05,3.0,2.0,5.0
C=CCN1C(=O)NC(c2ccc(OC)cc2)(C(F)(F)F)S/C1=C(/C#N)c1nnc(N2CCOCC2)n1-c1ccccc1,1,4.664380000000004,108.54000000000002,597.6230000000003,7.0,-4.4799999999999995,0.2857142857142857,5.0,1.0,9.0
C=CCNC1=C(Cl)C(=O)c2ccccc2C1=O,1,2.2916000000000007,46.17,247.68099999999998,3.0,-1.8699999999999994,0.07692307692307693,2.0,1.0,3.0
C=CCNc1nc(Nc2ccc(-c3nc4ccccc4o3)cc2)nc(N2CCOCC2)n1,1,3.8579000000000025,101.23,429.4840000000003,7.0,-3.9799999999999995,0.21739130434782608,5.0,2.0,9.0
C=CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(OC(=O)c2ccco2)c(OC)c1,0,2.8645000000000014,116.1,412.3980000000002,7.0,-4.01,0.19047619047619047,3.0,2.0,7.0
C=CCOc1c(Br)cc(/C=N/Nc2ccc(C(=O)O)cc2)cc1OCC,0,4.5568000000000035,80.15,419.2750000000002,9.0,-2.7999999999999994,0.15789473684210525,2.0,2.0,5.0
C=CCOc1ccc(/C=C2\SC(=S)N(C(C(=O)O)c3ccccc3)C2=O)cc1,1,4.278500000000003,66.84,411.50400000000013,7.0,-2.8999999999999995,0.09523809523809523,3.0,1.0,5.0
C=CCOc1ccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccccc3)C2=O)cc1,0,3.3461000000000016,75.71000000000001,432.5480000000002,7.0,-2.4599999999999995,0.05263157894736842,3.0,1.0,6.0
C=CCOc1ccc(C(c2c(C(=O)O)[nH]c3ccccc23)c2c(C(=O)O)[nH]c3ccccc23)cc1,0,5.790600000000004,115.41,466.49300000000017,8.0,-4.779999999999999,0.07142857142857142,5.0,4.0,3.0
C=CCOc1ccccc1CN(C(=O)CCl)c1ccc2c(c1)OCO2,1,3.752100000000003,48.0,359.8090000000001,7.0,-2.66,0.21052631578947367,3.0,0.0,4.0
C=CCOc1nc2ccccc2cc1C(c1cc2ccccc2nc1OCC=C)C(O)(CCN(C)C)c1ccc(Br)cc1,1,7.6465000000000085,67.71000000000001,638.6060000000003,13.0,-4.039999999999999,0.2222222222222222,5.0,1.0,6.0
C=CCOc1nc2ccccc2cc1C(c1cc2ccccc2nc1OCC=C)C(O)(CCN(C)C)c1cccc(Br)c1,1,7.6465000000000085,67.71000000000001,638.6060000000003,13.0,-4.039999999999999,0.2222222222222222,5.0,1.0,6.0
C=CCOc1nc2ccccc2cc1C(c1cc2ccccc2nc1OCC=C)C(O)(CCN(C)C)c1ccccc1,1,6.884000000000009,67.71000000000001,559.7100000000004,13.0,-4.519999999999999,0.2222222222222222,5.0,1.0,6.0
C=CCSC(=C(C#N)C#N)c1cc2c([nH]1)CCCC2,1,3.570960000000002,63.37,269.373,4.0,-1.9099999999999995,0.3333333333333333,2.0,1.0,3.0
C=CCc1cc(/C=C2\NC(=O)N(c3ccccc3F)C2=O)cc(OCC)c1O,0,3.755800000000003,78.87,382.39100000000013,6.0,-3.6099999999999994,0.14285714285714285,3.0,2.0,4.0
C=CCc1cccc(/C=N/c2cnc(O)nc2O)c1O,0,2.072500000000001,98.83000000000001,271.27599999999995,4.0,-2.8900000000000006,0.07142857142857142,2.0,3.0,6.0
C=CCn1c(-c2ccc(N)cc2)nc2ccccc21,1,3.4715000000000016,43.84,249.31699999999998,3.0,-2.5499999999999994,0.0625,3.0,1.0,3.0
C=CCn1c(-c2cccnc2Cl)nc2ccccc21,0,3.937700000000002,30.71,269.735,3.0,-2.1299999999999994,0.06666666666666667,3.0,0.0,3.0
C=CCn1c(COc2ccccc2F)nnc1SCCN1C(=O)c2ccccc2C1=O,1,3.5705000000000027,77.32,438.48400000000026,9.0,-3.4599999999999995,0.18181818181818182,4.0,0.0,7.0
C=CCn1c(N)c(C(=O)Nc2cccc(C)c2)c2nc3ccccc3nc21,0,3.913420000000002,85.83,357.4170000000001,4.0,-3.669999999999999,0.09523809523809523,4.0,2.0,5.0
C=CCn1c(NC(=O)c2ccc(Br)o2)c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc21,0,5.211100000000004,107.09,537.3950000000002,6.0,-3.7599999999999985,0.041666666666666664,5.0,1.0,7.0
C=CCn1c(SCc2c(C(=O)OC)sc(N)c2C(=O)OC)nnc1-c1ccc(Br)cc1,1,4.402800000000004,109.33,523.4340000000002,8.0,-2.629999999999999,0.2,3.0,1.0,10.0
C=CCn1c(SCc2c(C(=O)OC)sc(N)c2C(=O)OC)nnc1-c1ccc(Cl)cc1,1,4.293700000000003,109.33,478.9830000000002,8.0,-2.819999999999999,0.2,3.0,1.0,10.0
C=CCn1cc(CN2CCC(C(=O)Nc3ccc(Oc4cccnc4)cc3)CC2)c(C)n1,0,4.415520000000003,72.28,431.5400000000002,8.0,-3.4499999999999993,0.32,4.0,1.0,6.0
C=COC(=O)CSc1snc(SCC(=O)OC)c1C#N,0,2.05868,89.28,330.4120000000001,7.0,-1.5000000000000002,0.2727272727272727,1.0,0.0,9.0
C=CSc1sc(Cl)c(N2CCOCC2)c1[N+](=O)[O-],0,3.3819000000000017,55.61,306.796,4.0,-0.76,0.4,2.0,0.0,6.0
C=C[S+]([O-])c1sc(Cl)c(N2CCOCC2)c1[N+](=O)[O-],0,2.3974,78.67,322.7950000000001,4.0,-0.8,0.4,2.0,0.0,6.0
C=Cc1cc(O)cc2c1-c1ccc(O)c(C)c1CC2,0,3.814820000000002,40.46,252.31299999999996,1.0,-2.2199999999999998,0.17647058823529413,3.0,2.0,2.0
C=Cc1ccc(S(=O)(=O)Nc2ccc(-c3nc4cc(NS(=O)(=O)c5ccc(Cl)s5)ccc4o3)cc2)cc1,1,6.454300000000004,118.36999999999999,572.0890000000002,8.0,-3.639999999999999,0.0,5.0,2.0,7.0
C=Cc1ccc(S(=O)(=O)Nc2ccc(-c3nc4ccccc4o3)cc2)cc1,0,4.938600000000004,72.2,376.43700000000007,5.0,-3.379999999999999,0.0,4.0,1.0,4.0
C=Cc1ccc(S(=O)(=O)Nc2ccc3oc(-c4ccc(NS(=O)(=O)c5ccc(Cl)s5)cc4)nc3c2)cc1,1,6.4543000000000035,118.36999999999999,572.089,8.0,-3.639999999999999,0.0,5.0,2.0,7.0
C=Cc1ccc(S(=O)(=O)Nc2ccc3oc(-c4ccccc4)nc3c2)cc1,0,4.938600000000004,72.2,376.43700000000007,5.0,-3.379999999999999,0.0,4.0,1.0,4.0
CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,0,2.918700000000001,57.61000000000001,319.407,4.0,-1.9199999999999995,0.13333333333333333,2.0,1.0,4.0
CC(/C=C1\SC(=S)N(NC(=O)c2cccc(O)c2)C1=O)=C\c1ccccc1,0,3.8847000000000023,69.64000000000001,396.4930000000001,4.0,-2.8999999999999995,0.05,3.0,2.0,5.0
CC(/C=C1\SC(=S)N(NS(=O)(=O)c2ccc(C)cc2)C1=O)=C\c1ccccc1,0,4.036020000000002,66.48,430.5760000000002,5.0,-2.2599999999999993,0.1,3.0,1.0,5.0
CC(/C=C1\SC(=S)N(NS(=O)(=O)c2ccccc2)C1=O)=C\c1ccccc1,0,3.7276000000000025,66.48,416.54900000000015,5.0,-2.2599999999999993,0.05263157894736842,3.0,1.0,5.0
CC(/C=N/NC(=O)Cc1cc(O)[nH]n1)=C\c1ccccc1,1,1.8633,90.36999999999999,284.319,5.0,-2.8899999999999992,0.13333333333333333,2.0,3.0,4.0
CC(=O)/C=C(\O)c1c(C)[nH]n(-c2nc(-c3ccc(Cl)cc3)cs2)c1=O,0,3.7388200000000014,87.97999999999999,375.83700000000005,4.0,-2.6399999999999992,0.11764705882352941,3.0,2.0,6.0
